ipo_id,company_name,symbol,sector,issue_open_date,issue_close_date,allotment_date,listing_date,first_trading_date,total_issue_shares,general_public_shares,issue_price,face_value,issue_premium,valid_applications,applied_shares,first_day_open,first_day_high,first_day_low,first_day_close,first_day_ltp,net_worth_per_share,eps,book_value_per_share,casba_fee,annual_account_cost,risk_free_rate,capital_lock_days
1,Sarbottam Cement Limited,SARBTM,Manufacturing And Processing,2024-02-25,2024-02-28,2024-03-08,2024-03-18,2024-03-19,6000000,2776076,360.9,100.0,260.9,958959,50613360,556.0,611.6,556.0,611.6,611.6,185.36,5.13,185.36,15,150,0.06,9
2,Sonapur Minerals and Oil Limited,SONA,Manufacturing And Processing,2023-10-01,2023-10-05,2023-10-11,2023-10-19,2023-10-29,12300200,9732544,237.58,100.0,137.58,1114697,14773900,350.0,350.0,315.0,315.0,315.0,143.46,1.42,143.46,15,150,0.06,7
3,IME Life Insurance Company Limited,ILI,Life Insurance,2023-07-06,2023-07-10,2023-07-15,2023-08-03,2023-08-06,12000000,9600000,236.91,100.0,136.91,1188996,14372570,380.0,417.9,380.0,417.9,417.9,161.65,9.19,161.65,15,150,0.06,6
4,Ghorahi Cement Industry Limited,GCIL,Manufacturing And Processing,2023-07-07,2023-07-10,2023-07-16,2023-08-10,2023-08-13,7943801,6911670,435.0,100.0,335.0,673839,25420320,565.5,565.5,509.0,509.0,509.0,226.61,6.81,226.61,15,150,0.06,7
5,Vision Lumbini Urja Company Limited,VLUCL,Hydro Power,2023-11-02,2023-11-06,2023-11-21,2023-12-20,2023-12-21,3825000,2075285,100.0,100.0,0.0,1156927,12397480,365.3,401.8,365.3,401.8,401.8,139.77,21.81,139.77,15,150,0.06,16
6,Sun Nepal Life Insurance Company Limited,SNLI,Life Insurance,2023-08-17,2023-08-21,2023-09-01,2023-09-19,2023-09-21,9600000,7680000,239.0,100.0,139.0,1460061,17860420,475.2,522.7,455.0,470.0,470.0,135.68,13.68,135.68,15,150,0.06,12
7,Reliable Nepal Life Insurance Limited,RNLI,Life Insurance,2023-08-08,2023-08-11,2023-08-16,2023-09-13,2023-09-17,12000000,9600000,257.0,100.0,157.0,1356836,15930010,486.6,535.2,486.6,495.0,495.0,162.29,24.46,162.29,15,150,0.06,6
8,Mid Solu Hydropower Limited,MSHL,Hydro Power,2023-09-15,2023-09-19,2023-09-27,2023-10-11,2023-10-12,1496800,621172,100.0,100.0,0.0,1282819,14056210,300.0,330.0,300.0,330.0,330.0,100.0,0.0,100.0,15,150,0.06,9
9,Bhagawati Hydropower Development Company Limited,BGWT,Hydro Power,2023-08-22,2023-08-25,2023-09-04,2023-10-11,2023-10-12,1430162,712220,116.0,100.0,16.0,1306677,14240550,361.1,397.2,361.1,397.2,397.2,120.41,19.23,120.41,15,150,0.06,11
10,Hathway Investment Nepal Limited,HATHY,Investment,2023-09-07,2023-09-11,2023-09-19,2023-10-10,2023-10-11,2925000,2427750,50.0,50.0,0.0,1267709,29651520,285.2,313.7,285.2,313.7,313.7,95.09,9.56,95.09,15,150,0.06,9
11,Mandu Hydropower Limited,MANDU,Hydro Power,2023-08-27,2023-08-30,2023-09-10,2023-10-10,2023-10-11,1636370,1205320,206.0,100.0,106.0,872837,9417870,373.2,410.5,373.2,410.5,410.5,128.11,19.26,128.11,15,150,0.06,12
12,Citizen Life Insurance Company Limited,CLI,Life Insurance,2023-09-01,2023-09-05,2023-09-14,2023-09-27,2023-10-01,11250000,9000000,244.0,100.0,144.0,1407237,15522370,508.0,508.0,457.2,457.2,457.2,172.43,21.49,172.43,15,150,0.06,10
13,Sanima Life Insurance Company Limited,SLI,Life Insurance,2021-08-04,2021-08-08,2021-08-14,2021-09-01,2021-09-02,6000000,5400000,100.0,100.0,0.0,2308122,342796200,309.0,339.9,309.0,339.9,339.9,103.51,3.91,103.51,15,150,0.06,7
14,Balephi Hydropower Limited,BHL,Hydro Power,2022-03-30,2022-04-04,2022-04-12,2022-05-24,2022-05-25,1827970,1663453,100.0,100.0,0.0,2168100,24358530,104.7,110.9,104.7,110.9,110.9,93.64,-6.08,93.64,15,150,0.06,9
